Kode Provinsi,Nama Provinsi,Komoditas,Tahun,Bulan,Harga
53,Nusa Tenggara Timur,Telur Ayam Ras,2021,Januari,"Rp29,330"
61,Kalimantan Barat,Telur Ayam Ras,2021,Januari,"Rp30,469"
62,Kalimantan Tengah,Telur Ayam Ras,2021,Januari,"Rp28,115"
63,Kalimantan Selatan,Telur Ayam Ras,2021,Januari,"Rp26,629"
64,Kalimantan Timur,Telur Ayam Ras,2021,Januari,"Rp28,385"
65,Kalimantan Utara,Telur Ayam Ras,2021,Januari,"Rp30,630"
71,Sulawesi Utara,Telur Ayam Ras,2021,Januari,"Rp28,845"
72,Sulawesi Tengah,Telur Ayam Ras,2021,Januari,"Rp27,856"
73,Sulawesi Selatan,Telur Ayam Ras,2021,Januari,"Rp23,485"
74,Sulawesi Tenggara,Telur Ayam Ras,2021,Januari,"Rp26,256"
75,Gorontalo,Telur Ayam Ras,2021,Januari,"Rp26,644"
76,Sulawesi Barat,Telur Ayam Ras,2021,Januari,"Rp23,664"
81,Maluku,Telur Ayam Ras,2021,Januari,"Rp30,136"
82,Maluku Utara,Telur Ayam Ras,2021,Januari,"Rp30,607"
91,Papua Barat,Telur Ayam Ras,2021,Januari,"Rp31,398"
94,Papua,Telur Ayam Ras,2021,Januari,"Rp31,322"
11,Aceh,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,707"
12,Sumatera Utara,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,661"
13,Sumatera Barat,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,461"
14,Riau,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,135"
15,Jambi,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,988"
16,Sumatera Selatan,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,169"
17,Bengkulu,Gula Pasir Lokal/Curah,2021,Januari,"Rp13,592"
18,Lampung,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,945"
19,Kepulauan Bangka Belitung,Gula Pasir Lokal/Curah,2021,Januari,"Rp12,826"
